               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.061109,            0.076414,            0.040521,             0.37085,              0.2499,             0.22505,             0.11572,            0.058623,            0.056221,            0.036019,            0.008482,            0.008482,            0.008482
                  48,            0.060929,            0.076398,            0.040115,             0.38517,             0.25278,             0.23197,             0.11982,            0.058421,            0.056218,            0.035739,            0.008449,            0.008449,            0.008449
                  49,            0.060878,            0.076464,            0.039901,             0.38866,             0.25787,             0.23537,             0.12152,            0.058293,            0.056147,            0.035386,            0.008416,            0.008416,            0.008416
                  50,            0.060928,            0.076909,            0.039668,             0.40198,             0.25676,             0.23671,              0.1221,            0.058226,              0.0561,            0.035308,            0.008383,            0.008383,            0.008383
                  51,            0.060686,            0.076485,            0.039857,             0.38553,             0.25523,             0.23495,             0.12081,            0.058134,            0.056128,             0.03527,             0.00835,             0.00835,             0.00835
                  52,            0.060703,            0.076754,            0.039381,             0.39974,             0.26371,             0.23959,             0.12453,            0.058021,            0.055989,            0.035029,            0.008317,            0.008317,            0.008317
                  53,            0.060622,            0.076689,            0.039329,             0.41765,             0.26085,             0.23977,             0.12431,            0.057906,            0.056025,            0.034972,            0.008284,            0.008284,            0.008284
                  54,            0.060649,            0.076202,            0.039208,             0.41922,             0.26472,             0.24251,             0.12599,             0.05794,            0.055899,            0.034837,            0.008251,            0.008251,            0.008251
                  55,            0.060517,            0.076535,            0.038794,             0.39969,              0.2645,             0.24343,             0.12745,            0.057909,            0.055917,            0.034652,            0.008218,            0.008218,            0.008218
                  56,            0.060403,            0.075899,              0.0388,             0.41386,             0.26405,             0.24687,             0.12946,             0.05784,            0.055912,            0.034665,            0.008185,            0.008185,            0.008185
                  57,            0.060428,            0.076083,            0.038748,             0.41597,             0.26762,             0.24944,             0.13061,            0.057684,            0.055851,            0.034333,            0.008152,            0.008152,            0.008152
                  58,            0.060165,            0.075933,            0.038569,             0.40927,             0.27149,             0.25196,             0.13223,            0.057576,            0.055678,            0.034118,            0.008119,            0.008119,            0.008119
                  59,            0.060273,            0.076215,            0.038362,             0.41819,             0.26925,             0.25331,             0.13326,            0.057535,            0.055717,            0.034102,            0.008086,            0.008086,            0.008086
                  60,            0.060066,            0.076356,            0.038085,             0.40219,              0.2736,             0.25362,             0.13351,            0.057398,            0.055723,            0.034015,            0.008053,            0.008053,            0.008053
                  61,            0.060154,            0.076288,             0.03845,              0.3982,             0.27714,             0.25666,             0.13569,            0.057353,            0.055689,            0.033863,             0.00802,             0.00802,             0.00802
                  62,            0.060017,            0.075872,            0.037857,             0.41444,              0.2771,             0.25748,             0.13588,            0.057332,             0.05561,            0.033685,            0.007987,            0.007987,            0.007987
                  63,            0.059954,            0.075666,            0.037952,             0.40778,              0.2798,              0.2598,             0.13729,            0.057213,            0.055561,            0.033612,            0.007954,            0.007954,            0.007954
                  64,            0.059974,             0.07605,             0.03772,             0.38749,             0.28166,             0.26133,              0.1379,            0.057165,            0.055578,            0.033554,            0.007921,            0.007921,            0.007921
                  65,            0.059937,            0.075419,            0.037586,             0.40362,             0.28215,             0.26271,             0.13949,            0.057124,            0.055515,            0.033323,            0.007888,            0.007888,            0.007888
                  66,            0.059805,            0.075717,            0.037563,             0.42108,             0.28063,             0.26457,              0.1401,             0.05704,            0.055499,            0.033315,            0.007855,            0.007855,            0.007855
                  67,            0.059718,            0.075715,            0.037376,              0.4249,             0.28375,             0.26632,             0.14098,            0.056997,            0.055508,            0.033242,            0.007822,            0.007822,            0.007822
                  68,             0.05965,            0.075987,            0.037216,             0.43364,              0.2832,             0.26854,             0.14259,            0.056964,            0.055442,            0.033183,            0.007789,            0.007789,            0.007789
                  69,            0.059635,              0.0757,             0.03684,             0.43255,             0.28464,             0.26854,               0.143,            0.056912,            0.055444,             0.03301,            0.007756,            0.007756,            0.007756
                  70,            0.059551,             0.07497,            0.036963,             0.41668,              0.2888,             0.26993,             0.14384,            0.056873,            0.055429,            0.032897,            0.007723,            0.007723,            0.007723
                  71,            0.059581,            0.075823,            0.036876,             0.43708,             0.28735,             0.27199,             0.14497,            0.056813,             0.05537,            0.032761,             0.00769,             0.00769,             0.00769
                  72,            0.059392,            0.075276,            0.036615,             0.43593,             0.28657,             0.27291,             0.14564,            0.056793,            0.055388,            0.032771,            0.007657,            0.007657,            0.007657
                  73,            0.059454,            0.075424,            0.036364,               0.429,             0.29024,             0.27456,             0.14644,            0.056766,            0.055342,            0.032719,            0.007624,            0.007624,            0.007624
                  74,            0.059609,            0.075765,            0.036753,             0.43763,             0.29018,              0.2769,             0.14777,            0.056698,             0.05533,            0.032569,            0.007591,            0.007591,            0.007591
                  75,            0.059336,            0.075674,             0.03647,             0.44553,             0.29231,             0.27839,             0.14878,            0.056686,            0.055309,            0.032544,            0.007558,            0.007558,            0.007558
                  76,            0.059218,            0.075389,            0.036447,             0.43527,             0.29111,             0.27829,               0.149,            0.056626,            0.055296,            0.032476,            0.007525,            0.007525,            0.007525
                  77,            0.059378,            0.075177,            0.036134,             0.42966,             0.29413,             0.27883,             0.14958,             0.05657,            0.055286,            0.032384,            0.007492,            0.007492,            0.007492
                  78,            0.059212,            0.075699,            0.036074,             0.42661,             0.29502,             0.27913,             0.14961,            0.056537,             0.05527,            0.032323,            0.007459,            0.007459,            0.007459
                  79,            0.059307,             0.07553,            0.036069,             0.43801,              0.2949,             0.27949,             0.15014,            0.056509,            0.055247,            0.032277,            0.007426,            0.007426,            0.007426
                  80,            0.059178,            0.075781,            0.036034,             0.44336,             0.29693,             0.28095,             0.15083,            0.056446,            0.055218,            0.032284,            0.007393,            0.007393,            0.007393
                  81,            0.059109,             0.07516,            0.036009,             0.44815,             0.29468,             0.28179,             0.15084,            0.056402,            0.055239,            0.032208,             0.00736,             0.00736,             0.00736
                  82,            0.059073,            0.074896,            0.035691,             0.44105,             0.29645,             0.28327,             0.15172,            0.056361,            0.055209,            0.032146,            0.007327,            0.007327,            0.007327
                  83,            0.058868,            0.075361,            0.035826,             0.44472,             0.29605,             0.28476,             0.15269,            0.056323,            0.055199,            0.032099,            0.007294,            0.007294,            0.007294
                  84,            0.058859,            0.075382,            0.035533,             0.43937,             0.29995,             0.28478,             0.15327,            0.056278,            0.055185,            0.032075,            0.007261,            0.007261,            0.007261
                  85,            0.058924,            0.075022,            0.035544,             0.42531,             0.29868,             0.28573,             0.15385,            0.056238,            0.055178,            0.032008,            0.007228,            0.007228,            0.007228
                  86,            0.058812,            0.075019,            0.035435,             0.44008,             0.29922,             0.28675,             0.15463,            0.056209,            0.055175,            0.031954,            0.007195,            0.007195,            0.007195
                  87,            0.058656,            0.074796,            0.035462,             0.43163,             0.29756,             0.28742,             0.15535,            0.056179,            0.055154,            0.031902,            0.007162,            0.007162,            0.007162
                  88,             0.05872,            0.075206,            0.035231,             0.44604,             0.29747,              0.2875,             0.15534,            0.056156,            0.055127,            0.031889,            0.007129,            0.007129,            0.007129
                  89,            0.058781,            0.075261,            0.035399,             0.43728,             0.29844,             0.28802,             0.15568,            0.056122,            0.055119,             0.03182,            0.007096,            0.007096,            0.007096
                  90,            0.058579,            0.074293,            0.035126,             0.43485,             0.29752,             0.28879,             0.15627,            0.056114,            0.055102,            0.031817,            0.007063,            0.007063,            0.007063
                  91,            0.058782,            0.075348,            0.035034,              0.4393,             0.29761,             0.28977,             0.15668,            0.056091,             0.05509,             0.03176,             0.00703,             0.00703,             0.00703
                  92,            0.058557,            0.075124,            0.034888,             0.44642,             0.29975,             0.29012,             0.15707,             0.05606,            0.055086,            0.031697,            0.006997,            0.006997,            0.006997
                  93,            0.058511,            0.074598,            0.034943,             0.45113,             0.30024,             0.29037,             0.15707,            0.056036,            0.055082,            0.031661,            0.006964,            0.006964,            0.006964
                  94,            0.058476,            0.075127,            0.034623,             0.43752,             0.30275,             0.29103,              0.1575,            0.056017,             0.05507,             0.03163,            0.006931,            0.006931,            0.006931
                  95,            0.058517,            0.075203,            0.034792,             0.43838,             0.30256,              0.2919,             0.15787,            0.055995,             0.05506,            0.031602,            0.006898,            0.006898,            0.006898
                  96,            0.058378,            0.074715,            0.034535,             0.43938,             0.30311,             0.29285,             0.15837,            0.055972,            0.055053,            0.031559,            0.006865,            0.006865,            0.006865
                  97,             0.05844,            0.074084,            0.034529,             0.43995,             0.30032,             0.29279,             0.15873,            0.055944,            0.055042,             0.03151,            0.006832,            0.006832,            0.006832
                  98,            0.058241,            0.074677,            0.034444,             0.44104,              0.3023,             0.29303,             0.15909,            0.055917,             0.05503,            0.031466,            0.006799,            0.006799,            0.006799
                  99,            0.058392,            0.074315,            0.034634,             0.44091,             0.30394,             0.29356,             0.15933,            0.055898,            0.055022,            0.031436,            0.006766,            0.006766,            0.006766
                 100,            0.058356,            0.074579,            0.034322,             0.44399,             0.30482,              0.2939,             0.15939,            0.055878,            0.055008,            0.031409,            0.006733,            0.006733,            0.006733
                 101,            0.058258,             0.07453,            0.034535,             0.44867,             0.30601,             0.29462,             0.15988,             0.05586,            0.055009,            0.031384,              0.0067,              0.0067,              0.0067
                 102,            0.058284,            0.074665,            0.034117,             0.44002,             0.30813,             0.29519,             0.16011,            0.055833,               0.055,            0.031363,            0.006667,            0.006667,            0.006667
                 103,            0.058236,            0.074141,            0.034313,             0.44163,             0.30854,             0.29586,             0.16054,            0.055811,            0.054991,             0.03134,            0.006634,            0.006634,            0.006634
                 104,            0.058206,             0.07444,            0.034025,             0.44403,             0.30803,             0.29652,             0.16075,            0.055794,            0.054982,            0.031304,            0.006601,            0.006601,            0.006601
                 105,            0.058125,            0.074219,            0.034234,             0.44525,             0.30822,              0.2973,             0.16123,            0.055777,            0.054974,            0.031271,            0.006568,            0.006568,            0.006568
                 106,            0.058031,            0.074217,             0.03405,             0.44753,             0.30707,             0.29738,             0.16158,            0.055769,            0.054966,            0.031242,            0.006535,            0.006535,            0.006535
                 107,            0.057969,            0.074453,            0.033899,             0.44989,             0.30658,             0.29761,             0.16164,            0.055753,            0.054958,            0.031206,            0.006502,            0.006502,            0.006502
                 108,            0.058079,            0.074304,            0.033886,             0.44893,             0.30657,             0.29781,             0.16194,            0.055742,             0.05495,             0.03118,            0.006469,            0.006469,            0.006469
                 109,            0.057909,             0.07469,            0.033543,             0.45631,             0.30772,             0.29818,             0.16219,            0.055729,            0.054942,            0.031152,            0.006436,            0.006436,            0.006436
                 110,            0.057975,            0.074156,            0.033732,              0.4578,             0.30725,             0.29866,              0.1625,            0.055716,            0.054937,            0.031123,            0.006403,            0.006403,            0.006403
                 111,             0.05788,            0.074463,            0.033486,              0.4577,             0.30733,             0.29936,             0.16292,            0.055703,            0.054926,            0.031094,             0.00637,             0.00637,             0.00637
                 112,            0.057881,            0.073983,            0.033637,             0.46022,              0.3075,             0.29971,             0.16318,             0.05569,             0.05492,            0.031073,            0.006337,            0.006337,            0.006337
                 113,            0.057767,            0.073806,            0.033228,             0.45814,              0.3078,             0.29978,             0.16347,             0.05568,            0.054919,            0.031045,            0.006304,            0.006304,            0.006304
                 114,            0.057681,             0.07408,            0.033421,             0.45958,             0.30741,              0.3002,              0.1636,            0.055669,            0.054913,            0.031013,            0.006271,            0.006271,            0.006271
                 115,            0.057768,            0.074438,            0.033262,              0.4586,             0.30864,             0.30092,             0.16403,            0.055655,            0.054904,            0.030991,            0.006238,            0.006238,            0.006238
                 116,            0.057687,            0.073572,            0.033398,             0.45856,             0.30924,             0.30081,             0.16418,            0.055646,            0.054896,            0.030972,            0.006205,            0.006205,            0.006205
                 117,            0.057661,            0.073815,            0.033417,             0.45685,             0.31015,             0.30123,             0.16435,            0.055634,            0.054891,            0.030947,            0.006172,            0.006172,            0.006172
                 118,             0.05777,            0.074608,            0.033134,               0.455,             0.31064,             0.30118,             0.16463,            0.055622,            0.054885,            0.030926,            0.006139,            0.006139,            0.006139
                 119,            0.057631,            0.074183,            0.032976,             0.45515,             0.31076,             0.30133,             0.16463,            0.055612,            0.054882,            0.030912,            0.006106,            0.006106,            0.006106
                 120,            0.057555,              0.0733,            0.032933,             0.45481,             0.31109,             0.30158,             0.16492,            0.055598,            0.054876,            0.030895,            0.006073,            0.006073,            0.006073
                 121,             0.05765,            0.073626,             0.03292,             0.45317,             0.31135,             0.30191,             0.16526,            0.055591,            0.054878,            0.030883,             0.00604,             0.00604,             0.00604
                 122,            0.057485,            0.073539,            0.032715,             0.45256,              0.3127,             0.30208,             0.16534,            0.055579,            0.054872,            0.030858,            0.006007,            0.006007,            0.006007
                 123,            0.057415,             0.07403,            0.033179,             0.45345,             0.31292,             0.30228,              0.1655,             0.05557,             0.05487,            0.030841,            0.005974,            0.005974,            0.005974
                 124,            0.057444,            0.074682,            0.032828,             0.45426,             0.31337,              0.3024,             0.16552,            0.055563,            0.054866,            0.030821,            0.005941,            0.005941,            0.005941
                 125,            0.057337,            0.073966,            0.032473,             0.45752,             0.31279,             0.30262,             0.16573,            0.055554,            0.054865,            0.030805,            0.005908,            0.005908,            0.005908
                 126,            0.057365,            0.073803,            0.032889,             0.45702,             0.31337,              0.3028,             0.16575,            0.055546,             0.05486,            0.030786,            0.005875,            0.005875,            0.005875
                 127,            0.057239,            0.073904,            0.032654,             0.45535,             0.31384,             0.30289,             0.16585,            0.055536,            0.054858,             0.03077,            0.005842,            0.005842,            0.005842
                 128,            0.057408,             0.07334,            0.032695,             0.45512,             0.31389,             0.30331,             0.16613,            0.055527,            0.054853,            0.030752,            0.005809,            0.005809,            0.005809
                 129,            0.057401,            0.073968,            0.032516,             0.45611,              0.3141,             0.30355,             0.16611,             0.05552,            0.054857,             0.03074,            0.005776,            0.005776,            0.005776
                 130,            0.057327,            0.073702,             0.03253,             0.45702,             0.31382,             0.30346,             0.16633,            0.055511,            0.054857,            0.030721,            0.005743,            0.005743,            0.005743
                 131,              0.0572,             0.07346,            0.032544,             0.45621,             0.31426,             0.30356,             0.16647,            0.055504,            0.054859,            0.030708,             0.00571,             0.00571,             0.00571
                 132,            0.057128,            0.073506,            0.032466,             0.45769,             0.31423,             0.30414,             0.16683,            0.055497,             0.05486,            0.030695,            0.005677,            0.005677,            0.005677
                 133,            0.057096,            0.073485,            0.032255,             0.45952,             0.31328,             0.30444,             0.16691,             0.05549,            0.054859,            0.030682,            0.005644,            0.005644,            0.005644
                 134,            0.057089,            0.073385,            0.032469,             0.45886,             0.31393,             0.30425,             0.16693,            0.055483,            0.054859,            0.030667,            0.005611,            0.005611,            0.005611
                 135,            0.057218,            0.073776,            0.032138,             0.45875,              0.3143,              0.3045,             0.16694,            0.055478,            0.054863,            0.030655,            0.005578,            0.005578,            0.005578
                 136,            0.057057,            0.073661,            0.032177,             0.45996,             0.31486,             0.30463,             0.16715,            0.055467,            0.054861,            0.030642,            0.005545,            0.005545,            0.005545
                 137,            0.057155,            0.073668,            0.032001,              0.4582,             0.31524,             0.30496,             0.16715,             0.05546,            0.054861,            0.030632,            0.005512,            0.005512,            0.005512
